annual_income,monthly_income,emi_loans,rent_house,food,shopping,education,education_fees,medical,transport,transportation,tax_pf_deductions,tax_pf,other_expenses,savings_goal,dependents,city_tier,housing_type,investment_preference,risk_level,total_expenses,savings,savings_ratio,emi_ratio,shopping_ratio,expense_to_income_ratio,essential_ratio,discretionary_ratio,tax_ratio,goal_coverage_ratio,financial_health_score,spender_class,rec_rent_house_pct,rec_food_pct,rec_shopping_pct,rec_emi_loans_pct,rec_education_pct,rec_medical_pct,rec_transport_pct,rec_savings_pct,rec_emergency_fund_pct,rec_investments_pct,rec_tax_pf_pct,forecast_savings_m1,forecast_savings_m2,forecast_savings_m3,forecast_savings_m4,forecast_savings_m5,forecast_savings_m6,forecast_savings_m7,forecast_savings_m8,forecast_savings_m9,forecast_savings_m10,forecast_savings_m11,forecast_savings_m12
654000.0,54500.0,9193.25,10436.87,9614.5,6882.24,4586.07,4586.07,1492.16,3319.26,3319.26,3914.78,3914.78,6931.56,5175.34,3,Tier 2,Owned,Balanced,Low,56370.69,-1870.69,-0.0343,0.1687,0.1263,1.0343,0.6122,0.2535,0.0718,0.0,38.01,Risky,10.59,12.18,8.02,12.77,6.28,4.01,4.16,19.68,6.81,6.05,5.44,-1670.43,-2580.43,-2677.74,-3441.78,-3257.64,-2565.44,-3155.85,-2738.82,-3267.36,-3914.43,-3463.58,-4443.7
1390800.0,115900.0,0.0,15452.62,16547.24,24354.71,5295.75,5295.75,1704.11,6234.82,6234.82,21950.09,21950.09,2643.42,19833.85,1,Tier 2,Owned,Debt,Medium,94182.76,21717.24,0.1874,0.0,0.2101,0.8126,0.5797,0.2329,0.1894,1.095,84.29,Moderate,12.0,10.88,10.45,0.0,3.51,3.51,4.71,20.56,6.0,8.14,16.23,24152.17,23716.58,22546.34,22322.41,23463.26,21814.19,22237.75,23288.3,24394.77,24150.71,21412.74,25188.45
896400.0,74700.0,0.0,21786.87,12636.6,5871.28,7024.82,7024.82,5246.37,4421.63,4421.63,7919.76,7919.76,5485.85,17201.6,2,Tier 2,Rented,Debt,High,70393.18,4306.82,0.0577,0.0,0.0786,0.9423,0.7903,0.152,0.106,0.2504,58.27,Risky,19.15,11.49,9.1,0.0,4.95,3.75,4.39,17.56,7.18,9.97,8.46,3574.66,3999.02,3844.96,4048.83,4272.92,2475.93,2913.92,3877.67,2019.2,1810.15,2465.07,2857.26
866400.0,72200.0,0.0,4034.3,13325.05,8370.39,14440.0,14440.0,2755.1,2344.36,2344.36,8847.25,8847.25,722.0,10861.75,4,Tier 3,Owned,Equity,Low,54838.45,17361.55,0.2405,0.0,0.1159,0.7595,0.6336,0.1259,0.1225,1.5984,100.0,Safe,10.47,14.34,7.9,0.0,8.38,4.75,4.43,20.95,7.25,7.65,9.87,18281.74,18863.59,19048.46,18002.44,17355.98,18959.24,18468.53,19127.18,19467.69,19441.67,20467.36,20783.82
1170000.0,97500.0,25804.03,25300.83,11911.92,3772.67,3008.37,3008.37,1657.0,5927.15,5927.15,12797.27,12797.27,8968.01,18391.79,3,Tier 1,Rented,Equity,Low,99147.25,-1647.25,-0.0169,0.2647,0.0387,1.0169,0.6216,0.1307,0.1313,0.0,43.66,Risky,16.38,10.14,6.68,16.67,5.23,3.34,4.41,13.23,5.67,5.98,8.27,-1881.25,-1429.85,-1599.88,-3347.17,-2330.93,-3923.78,-5193.58,-5329.04,-6580.11,-6406.17,-6306.95,-5599.84
2334000.0,194500.0,27609.08,52999.38,23584.33,14395.8,15889.19,15889.19,9256.96,11848.15,11848.15,41434.17,41434.17,15176.68,60110.15,2,Tier 2,Rented,Equity,Low,212193.74,-17693.74,-0.091,0.1419,0.074,1.091,0.797,0.152,0.213,0.0,29.79,Risky,15.76,9.46,7.49,9.32,4.07,3.09,3.61,17.07,5.91,6.24,13.99,-19613.68,-22974.2,-19020.27,-22557.93,-20416.98,-22435.5,-24046.11,-23819.8,-21564.26,-22348.89,-27423.15,-28491.72
1605600.0,133800.0,19898.63,9024.22,18821.67,28974.08,13833.82,13833.82,4506.7,8196.42,8196.42,21531.79,21531.79,6736.19,25244.41,2,Tier 2,Owned,Balanced,Medium,131523.52,2276.48,0.017,0.1487,0.2165,0.983,0.5674,0.2669,0.1609,0.0902,41.67,Risky,10.25,10.54,8.34,10.88,4.54,3.44,4.03,17.57,6.59,8.05,11.78,2115.11,2273.81,548.55,1958.98,-1479.82,-442.45,2526.15,-1137.45,15.96,-2221.47,-1988.99,-3252.84
778800.0,64900.0,10659.02,18041.23,11899.36,6037.19,9534.22,9534.22,1689.65,3177.44,3177.44,8630.86,8630.86,649.0,6351.79,3,Tier 2,Rented,Debt,Medium,70317.97,-5417.97,-0.0835,0.1642,0.093,1.0835,0.8162,0.103,0.133,0.0,31.37,Risky,16.22,10.88,7.17,11.1,5.61,3.58,3.72,16.22,6.08,6.42,8.99,-4940.73,-5622.66,-6999.08,-7781.29,-8959.28,-7593.75,-5879.81,-7407.75,-8339.65,-8013.1,-9709.56,-9294.43
910800.0,75900.0,0.0,24729.19,9548.8,13925.23,4696.46,4696.46,5788.8,4936.11,4936.11,10305.23,10305.23,8909.27,16687.48,2,Tier 1,Rented,Debt,Low,82839.09,-6939.09,-0.0914,0.0,0.1835,1.0914,0.7906,0.3008,0.1358,0.0,18.9,Risky,20.0,11.08,8.77,0.0,4.77,3.62,5.39,20.0,6.92,5.0,10.45,-7232.77,-6692.21,-8542.56,-9300.99,-9188.8,-8737.14,-10506.34,-9109.69,-10338.33,-9460.28,-12605.6,-11871.93
324000.0,27000.0,6740.28,2448.93,4255.9,3796.45,2092.11,2092.11,2366.05,1442.67,1442.67,1955.9,1955.9,1456.52,4144.11,2,Tier 3,Owned,Equity,Medium,26554.81,445.19,0.0165,0.2496,0.1406,0.9835,0.5393,0.1946,0.0724,0.1074,51.36,Risky,9.76,10.81,8.56,18.73,4.65,3.53,4.13,14.26,6.76,9.38,5.44,-102.51,-283.62,-213.31,60.39,144.17,-83.96,-552.1,99.22,-67.34,-561.53,-869.19,-412.06
958800.0,79900.0,0.0,22912.64,9403.2,10386.2,0.0,0.0,1772.64,3971.99,3971.99,8592.62,8592.62,2109.62,21060.02,1,Tier 2,Rented,Balanced,Medium,59148.91,20751.09,0.2597,0.0,0.13,0.7403,0.5839,0.1564,0.1075,0.9853,100.0,Safe,19.97,10.57,10.15,0.0,3.41,3.41,4.58,19.97,5.83,9.15,8.95,23091.76,21204.12,21936.63,23027.83,24154.64,21791.64,22859.61,24125.12,21575.58,22358.32,23767.91,24565.68
1377600.0,114800.0,0.0,5478.08,16424.8,15457.3,807.09,807.09,6048.19,4176.71,4176.71,19799.44,19799.44,8434.35,11849.65,1,Tier 2,Family Home,Debt,High,76625.96,38174.04,0.3325,0.0,0.1346,0.6675,0.4594,0.2081,0.1725,3.2215,100.0,Moderate,7.29,11.57,11.12,0.0,3.74,3.74,5.01,20.05,6.38,11.39,15.72,40226.7,40162.08,40652.36,43563.29,43257.04,42272.68,44624.18,42654.79,43814.19,45208.66,45778.88,48926.31
631200.0,52600.0,0.0,5881.5,6114.11,4957.96,1628.56,1628.56,1207.64,3441.73,3441.73,5291.14,5291.14,4412.21,5150.57,1,Tier 3,Owned,Balanced,High,32934.85,19665.15,0.3739,0.0,0.0943,0.6261,0.448,0.1781,0.1006,3.8181,100.0,Safe,11.92,11.65,11.19,0.0,3.76,3.76,5.04,20.18,6.42,12.84,9.23,20876.22,22349.22,21949.76,22057.1,22336.96,22788.76,21599.4,22757.35,22845.42,24671.44,24507.05,26541.09
453600.0,37800.0,0.0,7922.17,4741.61,3446.27,2471.71,2471.71,767.27,1660.11,1660.11,2499.13,2499.13,3113.0,6456.09,2,Tier 1,Rented,Balanced,Medium,26621.27,11178.73,0.2957,0.0,0.0912,0.7043,0.5307,0.1735,0.0661,1.7315,100.0,Safe,20.75,11.49,9.1,0.0,4.95,3.75,5.59,19.15,7.18,8.78,5.28,10450.47,12333.2,12378.29,12087.65,11857.76,12798.89,12547.52,13493.92,12761.04,13040.9,13218.19,14172.82
1236000.0,103000.0,15316.55,15828.84,16622.21,13109.25,9290.96,9290.96,7842.11,2060.0,2060.0,17947.83,17947.83,3629.58,15585.83,3,Tier 3,Owned,Equity,High,101647.33,1352.67,0.0131,0.1487,0.1273,0.9869,0.6756,0.1625,0.1743,0.0868,47.54,Risky,9.07,11.23,7.4,10.37,5.79,3.7,3.84,15.35,6.28,10.81,12.16,-1369.23,-311.15,-613.09,-243.75,731.44,-1052.47,-2246.66,-1621.19,-847.24,-3284.57,-3556.78,-2376.43
756000.0,63000.0,15858.2,14253.36,5747.25,3387.8,0.0,0.0,3484.17,2012.64,2012.64,7715.72,7715.72,700.62,8869.36,0,Tier 1,Rented,Debt,High,53159.76,9840.24,0.1562,0.2517,0.0538,0.8438,0.5272,0.0649,0.1225,1.1095,87.05,Moderate,18.3,7.74,9.15,17.71,1.41,2.46,4.93,11.96,4.93,8.8,8.62,11051.65,10550.87,11007.7,9849.88,9810.97,10688.83,10330.86,10581.1,10155.74,10603.38,10785.13,11495.77
1374000.0,114500.0,0.0,18350.48,19343.61,15846.38,3212.02,3212.02,3082.76,8382.1,8382.1,18054.59,18054.59,6208.93,15328.1,1,Tier 1,Owned,Balanced,Medium,92480.87,22019.13,0.1923,0.0,0.1384,0.8077,0.6151,0.1926,0.1577,1.4365,93.73,Moderate,13.49,10.71,10.29,0.0,3.46,3.46,5.9,20.23,5.9,9.27,13.29,25064.48,25354.66,25002.51,22797.29,24764.45,24320.49,23889.79,24730.37,24165.0,24687.58,25210.33,25659.12
306000.0,25500.0,0.0,7082.18,3781.68,3089.42,841.73,841.73,1482.72,1889.22,1889.22,2200.92,2200.92,461.67,5257.09,2,Tier 1,Rented,Balanced,Medium,20829.54,4670.46,0.1832,0.0,0.1212,0.8168,0.6776,0.1393,0.0863,0.8884,91.42,Moderate,20.4,11.3,8.95,0.0,4.87,3.69,5.49,18.83,7.06,8.63,6.77,4780.36,5747.97,5421.62,5053.39,5143.47,5006.97,4849.74,4433.65,4879.24,4693.77,4599.27,5555.21
1078800.0,89900.0,0.0,16759.46,14079.7,11764.35,9816.59,9816.59,6364.89,4730.53,4730.53,11279.48,11279.48,1816.75,16727.42,2,Tier 3,Rented,Equity,Low,76611.75,13288.25,0.1478,0.0,0.1309,0.8522,0.7011,0.1511,0.1255,0.7944,83.09,Moderate,18.06,11.31,8.95,0.0,4.87,3.69,4.32,20.42,7.07,7.46,9.85,13863.37,13799.49,13652.64,14445.38,13681.8,13409.52,14089.62,13356.2,13975.84,14195.95,13258.15,14265.96
1980000.0,165000.0,0.0,10573.55,25468.53,3300.0,6655.27,6655.27,11732.47,5725.49,5725.49,29757.64,29757.64,8468.95,25332.96,1,Tier 3,Family Home,Balanced,Medium,101681.9,63318.1,0.3837,0.0,0.02,0.6163,0.5449,0.0713,0.1803,2.4994,100.0,Safe,7.2,11.43,10.98,0.0,3.69,3.69,4.95,21.61,6.3,9.9,16.24,64595.65,68024.3,72859.74,74787.56,71814.76,75726.82,72828.1,76226.09,74450.36,76964.14,80308.6,88449.75
1408800.0,117400.0,25862.34,19552.99,24257.67,2348.0,20974.76,20974.76,5790.6,5522.33,5522.33,21175.79,21175.79,7384.13,25393.45,4,Tier 1,Owned,Debt,Medium,132868.61,-15468.61,-0.1318,0.2203,0.02,1.1318,0.8286,0.0829,0.1804,0.0,21.22,Risky,10.63,11.83,6.51,14.64,6.91,3.92,4.65,12.63,5.98,6.31,11.99,-17116.62,-16074.95,-19236.29,-18597.56,-19143.87,-18788.88,-18699.59,-20589.46,-19068.03,-20500.5,-23569.73,-24485.3
854400.0,71200.0,15379.38,8243.61,14462.41,6142.87,0.0,0.0,2016.96,4129.98,4129.98,7950.67,7950.67,3198.43,12771.2,3,Tier 1,Owned,Equity,High,61524.31,9675.69,0.1359,0.216,0.0863,0.8641,0.5169,0.1312,0.1117,0.7576,77.23,Moderate,11.17,11.24,7.4,15.07,5.79,3.7,4.88,11.86,6.28,10.82,7.79,9946.48,9891.25,10965.42,9736.56,9510.01,10315.14,8728.52,9999.64,9789.92,9718.21,11159.36,9850.5
2841600.0,236800.0,66035.58,55753.46,36215.65,44754.39,10057.04,10057.04,15993.88,5007.28,5007.28,56776.21,56776.21,12681.91,34329.99,1,Tier 3,Rented,Debt,High,303275.4,-66475.4,-0.2807,0.2789,0.189,1.2807,0.7593,0.2426,0.2398,0.0,5.0,Risky,14.72,8.13,7.81,17.85,2.62,2.62,3.52,10.88,4.48,8.0,15.35,-67762.21,-70624.15,-70348.89,-65615.3,-70165.65,-68311.28,-69508.31,-68849.87,-69647.02,-69809.73,-69780.48,-70549.86
1029600.0,85800.0,0.0,23253.84,13213.86,10803.49,2428.9,2428.9,4208.07,1716.0,1716.0,10942.87,10942.87,6759.66,4290.0,1,Tier 2,Rented,Debt,Low,73326.69,12473.31,0.1454,0.0,0.1259,0.8546,0.6499,0.2047,0.1275,2.9075,85.71,Moderate,20.06,10.62,10.2,0.0,3.43,3.43,4.6,21.73,5.85,5.43,10.66,11342.83,13494.65,13687.56,12315.09,12615.08,14242.97,12489.21,14734.38,12836.35,13361.4,14701.2,13807.37
481200.0,40100.0,7235.79,9672.58,8083.28,5771.38,2887.94,2887.94,1934.88,3002.86,3002.86,3251.8,3251.8,2011.25,4159.85,4,Tier 2,Rented,Debt,Low,43851.76,-3751.76,-0.0936,0.1804,0.1439,1.0936,0.719,0.1941,0.0811,0.0,27.45,Risky,16.33,12.11,6.67,12.28,7.08,4.02,3.74,17.7,6.13,4.42,5.52,-3812.51,-4043.3,-5146.23,-4522.24,-4431.82,-4715.79,-4724.23,-5785.55,-5182.22,-5680.67,-6004.64,-5654.52
2029200.0,169100.0,31226.78,27288.81,17885.34,14746.19,7464.51,7464.51,7280.41,13379.83,13379.83,39984.39,39984.39,15070.67,30757.07,1,Tier 1,Owned,Balanced,Medium,174326.93,-5226.93,-0.0309,0.1847,0.0872,1.0309,0.6699,0.1763,0.2365,0.0,42.41,Risky,10.95,8.7,8.35,12.65,2.81,2.81,4.79,16.43,4.79,7.53,16.19,-4768.94,-6199.01,-9671.44,-5834.11,-9764.05,-12335.55,-11925.66,-12535.02,-11416.52,-12716.14,-13614.74,-12813.58
1047600.0,87300.0,0.0,18966.98,15202.27,15305.43,6502.87,6502.87,3666.03,5563.88,5563.88,8628.51,8628.51,4015.36,18323.88,2,Tier 3,Rented,Equity,Medium,77851.33,9448.67,0.1082,0.0,0.1753,0.8918,0.6705,0.2213,0.0988,0.5156,68.77,Moderate,18.31,11.46,9.08,0.0,4.94,3.74,4.38,19.11,7.17,9.95,7.87,10453.77,9201.06,10399.07,10192.29,8582.48,10028.08,9547.92,8838.22,7985.32,7908.3,8289.76,9388.85
494400.0,41200.0,0.0,7313.85,7509.91,4800.18,5081.89,5081.89,2316.83,3344.32,3344.32,2203.06,2203.06,2000.96,12150.6,3,Tier 3,Owned,Balanced,Medium,34571.0,6629.0,0.1609,0.0,0.1165,0.8391,0.674,0.1651,0.0535,0.5456,85.42,Moderate,11.54,14.29,9.41,0.0,7.37,4.7,4.88,21.3,7.99,9.76,4.75,6536.89,6964.59,6613.38,7332.11,7744.63,6987.56,6859.76,6409.05,6835.43,6327.94,6809.79,7541.13
1848000.0,154000.0,0.0,11113.73,28611.92,5098.01,5730.03,5730.03,12128.79,7702.99,7702.99,28519.43,28519.43,6705.28,32438.24,4,Tier 2,Family Home,Debt,Low,105610.18,48389.82,0.3142,0.0,0.0331,0.6858,0.6091,0.0766,0.1852,1.4918,100.0,Safe,6.54,14.55,8.01,0.0,8.5,4.82,4.5,21.26,7.36,5.31,15.14,51512.3,52249.34,52215.29,55838.08,56620.77,54889.45,55544.73,56154.12,56697.62,57251.61,59158.89,61346.53
454800.0,37900.0,0.0,2292.62,6290.99,4381.68,4009.5,4009.5,3009.5,1838.04,1838.04,3329.47,3329.47,2943.82,5148.83,3,Tier 2,Family Home,Balanced,Medium,28095.62,9804.38,0.2587,0.0,0.1156,0.7413,0.548,0.1933,0.0878,1.9042,100.0,Moderate,7.21,14.5,9.55,0.0,7.48,4.77,4.95,21.62,8.11,9.91,7.91,10358.34,10462.77,10341.36,10682.53,10718.2,10632.09,11499.27,10661.61,10701.98,10096.99,10979.88,11676.46
578400.0,48200.0,0.0,12962.56,4338.47,964.0,2439.81,2439.81,2470.8,4117.33,4117.33,3322.64,3322.64,3953.9,8732.95,2,Tier 1,Rented,Equity,Low,34569.51,13630.49,0.2828,0.0,0.02,0.7172,0.6152,0.102,0.0689,1.5608,100.0,Safe,20.61,11.42,9.04,0.0,4.92,3.73,5.55,20.61,7.13,7.53,5.46,14630.19,15081.87,14998.34,15548.48,15254.77,14807.76,15363.91,15107.55,15225.33,16279.41,14892.45,15996.79
432000.0,36000.0,5661.99,10910.19,4293.72,720.0,2313.35,2313.35,1189.39,1925.02,1925.02,3581.61,3581.61,360.0,5502.67,2,Tier 2,Rented,Balanced,Medium,30955.27,5044.73,0.1401,0.1573,0.02,0.8599,0.6726,0.03,0.0995,0.9168,82.91,Moderate,16.96,10.17,8.05,11.11,4.38,3.32,3.89,16.96,6.36,7.77,7.03,5244.81,5450.41,5534.74,4758.88,5695.09,4878.53,5450.2,5114.87,4503.9,5043.04,5463.71,5720.49
793200.0,66100.0,0.0,13023.02,15409.43,3423.62,3394.72,3394.72,3850.23,4135.49,4135.49,9817.56,9817.56,4052.84,10655.83,4,Tier 2,Rented,Debt,Low,57106.91,8993.09,0.1361,0.0,0.0518,0.8639,0.7508,0.1131,0.1485,0.844,81.7,Moderate,17.76,13.17,7.25,0.0,7.69,4.37,4.07,19.24,6.66,4.81,10.99,8774.13,8929.98,8917.7,11007.38,9609.14,9859.94,8809.5,8917.71,8564.6,7382.84,8416.17,8377.14
300000.0,25000.0,0.0,1171.72,4755.45,1957.11,3221.45,3221.45,1729.78,1577.7,1577.7,1984.77,1984.77,614.51,3029.76,3,Tier 1,Family Home,Balanced,High,17012.49,7987.51,0.3195,0.0,0.0783,0.6805,0.5776,0.1029,0.0794,2.6364,100.0,Safe,8.71,14.02,9.23,0.0,7.23,4.62,6.1,19.16,7.84,12.19,6.91,8342.37,8731.25,8437.33,8928.32,9215.44,9229.59,9638.89,9550.44,8646.51,10080.85,9407.13,10501.81
895200.0,74600.0,0.0,2619.07,7897.54,5627.33,3460.84,3460.84,3156.05,6439.0,6439.0,10682.83,10682.83,3553.92,21257.29,1,Tier 3,Family Home,Balanced,Low,43436.58,31163.42,0.4177,0.0,0.0754,0.5823,0.4592,0.1231,0.1432,1.466,100.0,Safe,7.54,11.96,11.49,0.0,3.86,3.86,5.18,24.49,6.59,7.54,13.49,32656.0,34473.0,34574.73,35561.83,35888.44,35529.43,36811.93,37157.12,37825.22,39679.8,41179.21,41662.06
1068000.0,89000.0,0.0,25078.12,5340.0,13685.63,0.0,0.0,3516.21,2770.11,2770.11,10892.14,10892.14,5710.56,32063.43,0,Tier 2,Rented,Balanced,Medium,66992.77,22007.23,0.2473,0.0,0.1538,0.7527,0.5348,0.2179,0.1224,0.6864,94.26,Moderate,20.35,9.33,11.02,0.0,1.7,2.97,4.66,20.35,5.93,9.33,10.38,23513.99,23601.34,23530.77,23800.21,22267.92,24269.92,24661.87,22499.35,23532.99,23586.08,24501.2,26309.49
300000.0,25000.0,0.0,2969.26,2962.5,3856.28,1159.91,1159.91,1456.78,1629.46,1629.46,2119.87,2119.87,3277.6,4869.48,2,Tier 3,Rented,Balanced,High,19431.66,5568.34,0.2227,0.0,0.1543,0.7773,0.4919,0.2854,0.0848,1.1435,89.63,Moderate,18.6,11.65,9.22,0.0,5.02,3.8,4.45,17.8,7.28,11.32,6.86,5924.82,5247.95,6562.02,5733.16,5817.11,6019.93,5285.01,6080.61,6459.27,6270.3,5599.84,6474.1
1322400.0,110200.0,0.0,31428.97,29067.3,10826.13,9359.89,9359.89,8231.98,8915.38,8915.38,22295.0,22295.0,5073.41,14609.24,4,Tier 1,Rented,Equity,Medium,125198.06,-14998.06,-0.1361,0.0,0.0982,1.1361,0.9918,0.1443,0.2023,0.0,20.32,Risky,17.5,11.98,6.6,0.0,7.0,3.97,4.71,16.15,6.06,8.41,13.62,-13240.78,-16131.2,-17869.83,-16479.21,-17917.04,-18325.58,-17693.2,-20086.35,-18752.73,-17651.14,-19977.38,-21698.61
640800.0,53400.0,4729.7,12106.37,9676.92,9532.43,5270.95,5270.95,1267.42,3733.95,3733.95,4290.37,4290.37,4249.29,4784.89,2,Tier 2,Rented,Equity,Low,54857.4,-1457.4,-0.0273,0.0886,0.1785,1.0273,0.6806,0.2581,0.0803,0.0,35.29,Risky,18.06,10.83,8.58,6.67,4.66,3.54,4.14,19.56,6.77,7.15,6.04,-1723.24,-1760.4,-1889.49,-2308.04,-2450.74,-2015.97,-2345.39,-4736.18,-3592.71,-3743.68,-4836.2,-4101.9
1774800.0,147900.0,52890.31,13988.0,24117.51,14784.46,12781.15,12781.15,3789.68,13944.83,13944.83,25659.07,25659.07,7888.48,28795.36,2,Tier 1,Family Home,Balanced,High,169843.49,-21943.49,-0.1484,0.3576,0.1,1.1484,0.6375,0.1533,0.1735,0.0,5.0,Risky,6.95,10.01,5.84,23.64,4.31,3.27,4.87,7.65,7.65,9.74,12.06,-23746.4,-24832.66,-23706.56,-24904.25,-24698.06,-25971.73,-25521.3,-27344.95,-24060.73,-30512.86,-27329.51,-28260.01
